OBJECTID,GEOID10,TotalCivilianPop,WithHealthInsurance,NoHealthInsurance,Pct_Insured,WithInsurance_U18,NoInsurance_U18,Pct_Insured_U18
99,2648342,17655,13790,3865,0.781081846502407,4877,296,0.942779818287261
100,2648327,22870,19862,3008,0.868473983384346,4541,300,0.938029332782483
101,2648367,4634,4266,368,0.920586965904186,1056,57,0.948787061994609
102,2648204,26550,21118,5432,0.795404896421846,6415,246,0.96306860831707
103,2648173,12647,11686,961,0.924013600063256,2985,42,0.986124876114965
104,2648141,25026,21440,3586,0.856709022616479,6882,419,0.942610601287495
105,2648229,9527,7959,1568,0.835415135929464,2465,52,0.979340484704013
106,2648184,17153,14919,2234,0.869760391768204,3904,96,0.976
107,2648243,0,0,0,,0,0,
108,2648186,35281,30351,4930,0.860264731725291,7795,512,0.938365234139882
109,2648226,4635,4094,541,0.883279395900755,184,0,1
110,2648462,13666,12252,1414,0.896531538123811,3202,237,0.931084617621402
111,2648428,4803,4381,422,0.912138246929003,1066,65,0.942528735632184
112,2648066,47276,40910,6366,0.865343937727388,10651,344,0.968713051386994
113,2648310,43349,36430,6919,0.840388474935985,8358,583,0.934794765686165
114,2648092,26651,23467,3184,0.880529811264118,5458,65,0.98823103385841
115,2648041,4542,4203,339,0.925363276089828,1133,22,0.980952380952381
116,2648051,16263,14860,1403,0.913730554018324,4562,71,0.984675156486078
117,2648164,9171,8503,668,0.927161705375641,2457,42,0.983193277310924
118,2648370,1880,1789,91,0.951595744680851,476,24,0.952
119,2648307,41102,37662,3440,0.916305775874653,9104,359,0.962062770791504
120,2648382,22097,20757,1340,0.939358283929945,5620,200,0.965635738831615
121,2648336,26039,23676,2363,0.909251507354353,5386,279,0.950750220653133
122,2648334,18255,16942,1313,0.928074500136949,3458,55,0.984343865641901
123,2648030,16441,12981,3460,0.789550513959005,3284,475,0.873636605480181
124,2648324,16935,16087,848,0.949926188367287,4005,60,0.985239852398524
125,2648362,15617,14424,1193,0.923608887750528,4028,25,0.993831729583025
126,2648350,7136,6348,788,0.88957399103139,1794,94,0.95021186440678
127,2648084,14566,13606,960,0.934093093505424,3134,158,0.952004860267315
128,2648072,15124,13812,1312,0.913250462840518,2985,247,0.923576732673267
129,2648009,20382,19426,956,0.953095868903935,5109,155,0.970554711246201
130,2648168,21788,20947,841,0.961400771066642,5339,44,0.991826119264351
131,2648170,39475,36693,2782,0.929525015832806,8635,201,0.977252150294251
132,2648224,44147,36476,7671,0.826239608580424,12178,650,0.949329591518553
133,2648209,33587,24630,8957,0.733319439068687,10471,430,0.960554077607559
134,2648212,36562,27887,8675,0.762731798041683,10528,712,0.936654804270463
135,2648239,35711,31174,4537,0.872952311612668,8088,422,0.950411280846063
136,2648430,36922,33561,3361,0.908970261632631,8766,287,0.968297801833646
137,2648093,22964,20163,2801,0.878026476223654,4105,355,0.920403587443946
138,2648042,28194,27041,1153,0.959104774065404,7424,16,0.997849462365591
139,2648080,22234,19850,2384,0.892776828281011,3982,166,0.959980713596914
140,2648095,5115,4870,245,0.952101661779081,1185,0,1
141,2648306,27836,26810,1026,0.963141255927576,7312,111,0.985046477165566
142,2648071,29877,25748,4129,0.861800046858788,5531,280,0.951815522285321
143,2648375,22222,20789,1433,0.935514355143551,5506,109,0.980587711487088
144,2648067,25318,22982,2336,0.907733628248677,3700,156,0.95954356846473
145,2648034,13968,11995,1973,0.858748568155785,2673,94,0.966028189374774
146,2648033,15932,14200,1732,0.891287973889028,3005,82,0.973436993845157
147,2648075,21063,18709,2354,0.888240041779424,3866,172,0.957404655770183
148,2648085,24296,22230,2066,0.914965426407639,5803,237,0.960761589403973
149,2648322,32144,29215,2929,0.908878795420607,6873,510,0.930922389272653
150,2648069,2544,2403,141,0.944575471698113,451,0,1
151,2648206,19168,15355,3813,0.801074707846411,4241,154,0.964960182025028
152,2648135,27347,24053,3294,0.879548030862617,5663,222,0.962276975361087
153,2648150,26741,24762,1979,0.925993792303953,5644,172,0.970426409903714
154,2648152,30882,28484,2398,0.922349588757205,5838,244,0.959881617888852
155,2648242,0,0,0,,0,0,
156,2648238,30636,25158,5478,0.821190755973365,7322,275,0.963801500592339
157,2648122,10636,9116,1520,0.857089131252351,2726,145,0.94949494949495
158,2648021,32481,28446,4035,0.875773529140113,8407,140,0.983619983619984
159,2648035,34236,29550,4686,0.863126533473537,7049,466,0.937990685296075
160,2648044,53977,51070,2907,0.946143727884099,15154,199,0.987038363837686
161,2648094,18429,16615,1814,0.901568180584948,4345,181,0.960008837825895
162,2648089,30578,25269,5309,0.826378442017137,7876,491,0.941317079000837
163,2648065,10692,9658,1034,0.903292181069959,2136,35,0.98387839705205
164,2648050,1823,1598,225,0.876577070762479,277,74,0.789173789173789
165,2648015,8080,7028,1052,0.86980198019802,1730,155,0.917771883289125
166,2648082,16719,15292,1427,0.914648005263473,3365,93,0.973105841526894
167,2648323,17482,16668,814,0.953437821759524,4125,69,0.983547925608011
168,2648098,19432,18213,1219,0.937268423219432,4178,220,0.949977262391996
169,2648381,12859,11715,1144,0.911035072711719,2839,64,0.977953840854289
170,2648234,34719,27434,7285,0.790172528010599,8076,776,0.912336195210122
171,2648210,31871,22926,8945,0.719337328605943,10706,869,0.924924406047516
172,2648202,16094,13467,2627,0.836771467627687,2444,180,0.93140243902439
173,2648235,45565,38338,7227,0.841391418852189,10871,333,0.970278471974295
174,2648124,30505,27822,2683,0.912047205376168,6265,225,0.965331278890601
175,2648183,42363,39498,2865,0.932370228737342,9222,164,0.982527168122736
176,2648154,37431,35536,1895,0.949373513932302,7169,102,0.985971668271214
177,2648240,17463,15065,2398,0.862681097176888,3795,162,0.959059893858984
178,2648125,19815,16902,2913,0.852990158970477,4277,257,0.943317159241288
